CaseID,duration,Children6to17,childage,parental,childgender,sleepneeds,oftbathpar,oftmusicpar,oftalcoholpar,oftreadpar,oftyogapar,oftTVpar,oftonlinepar,oftOTCpar,oftotherpar,bed_school,wake_school,bed_nonschool,wake_nonschool,bedhours_school,bedhours_nonschool,sleephours_school,sleephours_nonschool,wakeupatnight,sleepinschool
602,13,1,15,1,1,6,1,3,4,2,4,1,1,1,4,9,7,12,10,10,10,8,10,3,1
649,13,4,8,1,1,8,2,2,4,2,4,2,2,4,2,8,6,11,9,10,10,8,10,1,2
651,10,1,17,5,2,10,1,2,4,3,4,2,3,3,2,10,6,12,11,8,11,8,10,2,3
708,11,1,14,1,2,10,1,3,4,3,4,1,2,4,4,9,6,12,10,9,10,8,10,1,1
720,8,1,7,1,1,8,1,3,4,2,4,2,1,4,4,9,7,10,8,10,10,8,10,1,1
724,34,2,11,1,2,9,2,3,4,3,3,2,2,4,3,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,8,10,1,2
725,1568,2,7,1,1,9,1,2,4,2,4,2,2,4,3,8,7,10,8,11,10,8,10,1,1
773,43,2,11,1,2,8,3,3,2,4,4,1,2,4,2,11,7,12,10,8,10,8,10,1,1
803,12,1,15,1,1,8,1,4,3,4,4,4,4,3,4,9,5,10,8,8,10,8,10,1,1
822,2866,1,6,1,1,10,1,3,4,2,4,2,3,4,2,8,6,9,8,10,11,8,10,2,1
834,24,1,16,1,2,8,1,2,3,1,2,1,2,4,4,10,6,11,9,8,10,8,10,1,1
838,38,2,15,1,2,9,3,3,4,3,3,3,3,3,3,10,6,12,11,8,11,8,10,1,1
863,4,2,12,1,2,8,3,3,4,3,4,3,4,4,4,11,7,11,9,8,10,8,10,1,1
864,5,2,13,1,2,8,4,4,4,4,4,4,4,4,4,10,6,10,8,8,10,8,10,1,1
882,17,1,16,1,1,8,2,3,4,4,4,2,2,4,4,10,6,12,11,8,11,8,10,1,2
886,14,2,8,3,2,1,1,1,4,2,4,2,2,4,2,8,6,9,8,10,11,8,10,2,1
893,10,1,6,1,1,8,1,3,4,2,3,2,3,2,4,10,7,10,10,9,12,8,10,1,2
895,18,1,8,1,2,9,2,3,4,2,4,2,3,4,4,8,7,11,8,11,9,8,10,2,1
917,7,1,17,1,1,9,3,3,2,2,2,2,3,2,4,10,7,11,11,9,12,8,10,1,1
919,16,2,16,1,1,8,4,4,4,4,4,4,4,4,4,10,6,10,9,8,11,8,10,2,1
920,9,2,13,1,2,8,3,4,4,2,4,2,1,4,2,9,6,10,9,9,11,8,10,2,1
923,539,2,11,1,1,9,3,3,4,1,2,1,4,4,2,9,6,10,6,9,8,8,10,1,1
930,10,2,9,1,2,8,2,4,4,2,4,1,1,4,4,10,7,11,9,9,10,8,10,2,1
940,31,1,14,1,1,8,2,3,3,4,4,2,3,4,1,10,6,12,10,8,10,8,10,2,1
945,20,1,16,1,1,8,2,2,4,2,3,3,4,4,2,10,6,12,9,8,9,8,10,1,1
953,7,1,17,1,1,8,3,3,4,3,3,1,4,4,4,10,6,10,9,8,11,8,10,1,2
955,17,1,16,1,1,8,1,4,2,-1,4,2,2,4,2,#NULL!,#NULL!,12,11,#NULL!,11,8,10,1,1
963,15,1,13,1,2,8,2,3,4,2,4,1,2,4,3,9,7,10,9,10,11,8,10,1,1
994,16,2,14,1,1,8,4,4,4,4,4,2,-1,4,4,10,6,11,10,8,11,8,10,1,1
1015,8,2,16,1,1,8,1,1,4,3,4,1,3,4,4,9,6,12,13,9,13,8,10,2,3
1039,2812,1,13,1,1,9,1,2,3,1,2,1,2,1,2,10,6,11,9,8,10,8,10,1,1
1058,8,3,12,1,1,10,4,4,4,2,4,2,4,4,4,10,6,12,10,8,10,8,10,1,1
1067,11,3,10,2,1,8,1,4,3,3,2,2,4,2,4,8,6,9,7,10,10,8,10,2,1
1077,5,1,15,1,2,8,3,3,3,3,3,3,3,3,3,9,6,11,10,9,11,8,10,1,1
1090,9,4,12,1,2,8,4,4,1,2,4,4,4,4,4,10,6,12,10,8,10,8,10,1,1
1099,26,3,11,1,1,8,1,2,4,2,3,1,3,4,3,9,6,10,8,9,10,8,10,1,1
1117,13,2,14,1,2,10,1,1,4,2,4,2,4,4,3,8,6,10,9,10,11,8,10,1,1
1131,13,1,16,1,1,9,3,3,3,2,2,4,4,4,3,10,7,11,9,9,10,8,10,2,1
1136,18,1,12,1,1,8,1,3,4,1,4,1,2,4,3,9,7,10,10,10,12,8,10,1,1
1160,13,1,14,1,1,8,2,2,4,2,2,2,2,2,2,9,6,12,9,9,9,8,10,2,2
1210,9,1,16,1,1,10,4,3,4,2,4,4,4,4,4,10,7,12,11,9,11,8,10,1,1
1225,62,3,15,1,2,8,2,3,4,3,4,1,2,4,3,10,7,12,11,9,11,8,10,1,1
1240,13,1,10,5,1,8,3,3,2,3,4,2,2,4,4,11,7,11,10,8,11,8,10,2,1
