CaseID,TVchildBR,compchildBR,tabletchildBR,cellchildBR,gamechildBR,mp3childBR,count
446,2,2,2,2,2,2,12
471,2,2,1,2,2,1,10
483,2,2,2,2,2,2,12
498,1,2,2,2,1,2,10
512,2,2,2,2,2,2,12
527,2,2,1,2,2,1,10
539,1,1,1,1,1,2,7
544,2,2,2,2,2,1,11
547,2,1,2,2,2,2,11
559,2,2,2,2,1,1,10
566,2,2,2,2,2,2,12
604,2,2,2,2,2,2,12
623,2,1,2,2,2,1,10
647,2,2,1,2,2,2,11
650,1,2,2,2,2,2,11
653,1,2,1,2,2,1,9
665,2,2,2,2,2,1,11
667,2,2,2,2,2,2,12
676,2,2,2,2,2,2,12
689,2,2,2,2,2,2,12
693,1,1,2,2,1,2,9
696,2,2,2,2,2,2,12
704,1,2,1,2,2,1,9
706,2,2,2,2,2,2,12
721,1,1,2,1,2,2,9
735,2,2,2,2,2,2,12
742,2,2,2,2,2,2,12
750,2,2,2,2,2,2,12
759,2,2,2,2,2,2,12
767,1,2,2,2,2,2,11
774,2,2,2,2,2,2,12
777,2,2,2,2,2,2,12
780,1,2,2,2,2,2,11
786,2,2,2,2,2,1,11
795,1,2,2,2,1,2,10
800,1,2,2,2,2,2,11
812,1,2,2,2,1,1,9
813,2,1,2,2,2,2,11
826,2,2,2,2,2,2,12
833,2,2,2,2,2,2,12
844,2,1,2,2,1,1,9
850,2,2,2,1,2,1,10
854,2,2,2,2,2,2,12
866,1,1,2,2,1,2,9
907,2,2,2,2,2,2,12
913,2,2,2,2,2,2,12
918,2,2,2,2,2,2,12
922,1,2,2,2,2,2,11
935,1,2,2,2,2,1,10
938,2,2,2,2,2,2,12
983,2,1,1,2,2,2,10
1017,1,1,2,1,2,1,8
1030,2,2,2,2,2,1,11
1041,1,2,1,1,2,2,9
1042,2,2,2,2,2,2,12
1048,2,2,2,2,2,1,11
1057,1,2,2,2,1,2,10
1069,2,2,2,2,2,2,12
1072,2,2,2,2,2,1,11
1098,2,2,2,2,2,2,12
1109,1,2,2,2,2,1,10
1129,1,2,2,2,2,2,11
